Library	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-c38-mesc-a1h5-hkt-r59-c45_S801_	121	0.0214029	0.9264	398576	398576	71.691198	0.026223	0.010305586918735	0.0272010417420242	74	0.511111111111111	0.42216	0.160868
f1216-c38-mesc-a1h5-hkt-r59-c46_S802_	125	0.000504232	0.9409	505942	505942	72.154832	0.030205	0.0131124042402182	0.125179379622475	91	0.513513513513513	0.426478	0.172506
f1216-c38-mesc-a1h5-hkt-r59-c47_S803_	123	0.00216044	0.9187	369322	369322	71.937201	0.028929	0.00955533538429457	0.0930369324864738	67	0.507936507936508	0.42958	0.146088
f1216-c38-mesc-a1h5-hkt-r59-c48_S804_	122	0.00146506	0.9556	457360	457360	71.702151	0.029469	0.0117878882816219	0.0339801729592913	85	0.492307692307692	0.421769	0.164669
f1216-c38-mesc-a1h5-hkt-r59-c49_S805_	123	8.49637e-05	0.9534	395628	395628	71.602938	0.027652	0.0102017769566564	0.0441028634432662	75	0.532467532467532	0.425211	0.156601
f1216-c38-mesc-a1h5-hkt-r59-c50_S806_	128	0.00312889	0.9486	340014	340014	72.963437	0.030269	0.00891024402049857	0.0406742556917688	63	0.491228070175439	0.428122	0.139463
f1216-c38-mesc-a1h5-hkt-r59-c51_S807_	125	0.0167801	0.9584	477850	477850	71.951171	0.02998	0.0123522587732669	0.0245698310824113	88	0.476190476190476	0.42254	0.16599
f1216-c38-mesc-a1h5-hkt-r59-c52_S808_	127	0.00130771	0.968	317642	317642	72.968874	0.029329	0.00833266375067191	0.0223739609197884	59	0.507692307692308	0.429488	0.137921
f1216-c38-mesc-a1h5-hkt-r59-c53_S809_	127	0.00209269	0.9685	450448	450448	72.701473	0.032568	0.0117339587607336	0.0201280299579981	83	0.454545454545455	0.423318	0.157459
f1216-c38-mesc-a1h5-hkt-r59-c54_S810_	126	0.00770011	0.9567	519696	519696	71.982267	0.029275	0.0134495373309905	0.0290919127794645	96	0.5	0.42161	0.176554
