Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-c38-mesc-a1h5-hkt-r58-c47_S767_	P	126	0.00187188	0.9297	349804	349804	72.132786	0.025734	0.0091048178	0.2242681775	61	0.5471698113	0.432644	0.152344
f1216-c38-mesc-a1h5-hkt-r58-c48_S768_	G	NA	0.0298913	0.5003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f1216-c38-mesc-a1h5-hkt-r58-c49_S769_	G	122	4.37121E-05	0.9611	303616	303616	72.161105	0.029419	0.0078758212	0.0296047834	57	0.488372093	0.42884	0.130676
f1216-c38-mesc-a1h5-hkt-r58-c50_S770_	G	128	0.00413636	0.9308	387490	387490	72.420816	0.026137	0.0101218061	0.0282285594	73	0.475	0.422249	0.161831
f1216-c38-mesc-a1h5-hkt-r58-c51_S771_	G	122	0.0135699	0.9614	458488	458488	71.672031	0.027774	0.0118326264	0.0954407687	83	0.5	0.425657	0.168634
f1216-c38-mesc-a1h5-hkt-r58-c52_S772_	G	130	0.00115625	0.9694	355868	355868	73.016987	0.030612	0.0093292498	0.0697312588	66	0.4915254237	0.428531	0.146453
f1216-c38-mesc-a1h5-hkt-r58-c53_S773_	G	125	0.00379189	0.9528	491202	491202	71.921953	0.029462	0.012699025	0.0359228738	90	0.4383561644	0.422107	0.167373
f1216-c38-mesc-a1h5-hkt-r58-c54_S774_	G	127	0.00496416	0.9663	347802	347802	72.6824	0.028332	0.0090973619	0.0225972742	64	0.5	0.425846	0.146887
f1216-c38-mesc-a1h5-hkt-r59-c39_S795_	G	111	0.00834507	0.9053	184786	184786	70.184906	0.017739	0.0047181954	0.1362850685	35	0.4545454545	0.424801	NA
f1216-c38-mesc-a1h5-hkt-r59-c40_S796_	G	112	0.000889097	0.912	244584	244584	70.397585	0.019061	0.006255529	0.049383172	46	0.4833333333	0.426772	NA
f1216-c38-mesc-a1h5-hkt-r59-c41_S797_	G	105	0.00571986	0.8166	134018	134018	69.768613	0.016729	0.0034051221	0.1313695615	25	0.5675675676	0.425504	0.10632
f1216-c38-mesc-a1h5-hkt-r59-c42_S798_	G	108	0.0145241	0.8677	176206	176206	70.005068	0.018603	0.0044836441	0.0548508973	33	0.4473684211	0.423827	0.118007
f1216-c38-mesc-a1h5-hkt-r59-c43_S799_	G	122	0.0053032	0.8941	393132	393132	71.811371	0.030992	0.0101320007	0.0296875623	75	0.4848484848	0.41961	0.147463
f1216-c38-mesc-a1h5-hkt-r59-c44_S800_	G	123	0.0318951	0.9488	446038	446038	71.709729	0.027957	0.0115152045	0.0548357806	83	0.4927536232	0.422378	0.166155
f1216-c38-mesc-a1h5-hkt-r59-c45_S801_	G	121	0.0214029	0.9264	398576	398576	71.691198	0.026223	0.0103055869	0.0272010417	74	0.5111111111	0.42216	0.160868
f1216-c38-mesc-a1h5-hkt-r59-c46_S802_	P	125	0.000504232	0.9409	505942	505942	72.154832	0.030205	0.0131124042	0.1251793796	91	0.5135135135	0.426478	0.172506
f1216-c38-mesc-a1h5-hkt-r59-c47_S803_	P	123	0.00216044	0.9187	369322	369322	71.937201	0.028929	0.0095553354	0.0930369325	67	0.5079365079	0.42958	0.146088
f1216-c38-mesc-a1h5-hkt-r59-c48_S804_	G	122	0.00146506	0.9556	457360	457360	71.702151	0.029469	0.0117878883	0.033980173	85	0.4923076923	0.421769	0.164669
f1216-c38-mesc-a1h5-hkt-r59-c49_S805_	G	123	8.49637E-05	0.9534	395628	395628	71.602938	0.027652	0.010201777	0.0441028634	75	0.5324675325	0.425211	0.156601
f1216-c38-mesc-a1h5-hkt-r59-c50_S806_	G	128	0.00312889	0.9486	340014	340014	72.963437	0.030269	0.008910244	0.0406742557	63	0.4912280702	0.428122	0.139463
f1216-c38-mesc-a1h5-hkt-r59-c51_S807_	G	125	0.0167801	0.9584	477850	477850	71.951171	0.02998	0.0123522588	0.0245698311	88	0.4761904762	0.42254	0.16599
f1216-c38-mesc-a1h5-hkt-r59-c52_S808_	G	127	0.00130771	0.968	317642	317642	72.968874	0.029329	0.0083326638	0.0223739609	59	0.5076923077	0.429488	0.137921
f1216-c38-mesc-a1h5-hkt-r59-c53_S809_	G	127	0.00209269	0.9685	450448	450448	72.701473	0.032568	0.0117339588	0.02012803	83	0.4545454545	0.423318	0.157459
f1216-c38-mesc-a1h5-hkt-r59-c54_S810_	G	126	0.00770011	0.9567	519696	519696	71.982267	0.029275	0.0134495373	0.0290919128	96	0.5	0.42161	0.176554
f1216-wt-mesc-a1h5-hkt-f11-r2-c2_S1115_	G	140	0.000125806	0.9286	313088	313088	74.086183	0.040992	0.0082387649	0.0132495913	58	0.5588235294	0.416694	0.111232
f1216-wt-mesc-a1h5-hkt-f11-r2-c3_S1116_	G	132	0.00143304	0.9281	532054	532054	72.997893	0.039673	0.0138140624	0.0252179638	96	0.4516129032	0.418386	0.151815
f1216-wt-mesc-a1h5-hkt-f11-r2-c4_S1117_	P	117	0.0121076	0.9535	202282	202282	71.33786	0.020625	0.0052343477	0.1621675072	36	0.4857142857	0.423578	NA
f1216-wt-mesc-a1h5-hkt-f11-r2-c5_S1118_	P	135	0.00017697	0.9722	583210	583210	73.239761	0.045181	0.0151052935	0.1527340003	102	0.5263157895	0.420084	0.153749
f1216-wt-mesc-a1h5-hkt-f11-r2-c6_S1119_	P	136	0.00138208	0.9689	628970	628970	73.156987	0.045061	0.0162741235	0.0830246807	112	0.462962963	0.418067	0.159448
f1216-wt-mesc-a1h5-hkt-f11-r3-c2_S1120_	G	133	0.00717976	0.9424	527724	527724	73.141104	0.039104	0.0137366546	0.0183770716	96	0.5454545455	0.417627	0.155943
f1216-wt-mesc-a1h5-hkt-f11-r3-c3_S1121_	P	139	0.00899329	0.9571	545274	545274	73.679429	0.046956	0.0141811101	0.3335597826	91	0.6	0.424141	0.144089
f1216-wt-mesc-a1h5-hkt-f11-r3-c4_S1122_	G	130	0.0101749	0.9519	376094	376094	73.2611	0.038432	0.0098126448	0.0252052149	69	0.4444444444	0.416721	0.129604
f1216-wt-mesc-a1h5-hkt-f11-r3-c5_S1123_	P	134	0.00684144	0.9466	603640	603640	73.259572	0.043546	0.0156654441	0.0790518844	108	0.5	0.421486	0.157714
f1216-wt-mesc-a1h5-hkt-f11-r3-c6_S1124_	P	125	0.0202583	0.9101	379816	379816	72.882967	0.039661	0.0098460061	0.0992997666	69	0.5675675676	0.41984	0.124117
f1216-wt-mesc-a1h5-hkt-f11-r4-c2_S1125_	G	133	0.00681688	0.9267	475350	475350	73.154469	0.038515	0.0123832063	0.0270491617	89	0.3529411765	0.41568	0.148335
f1216-wt-mesc-a1h5-hkt-f11-r4-c3_S1126_	G	136	0.00232791	0.9764	582776	582776	73.141315	0.044837	0.0150791947	0.0313018691	105	0.4705882353	0.416778	0.151387
f1216-wt-mesc-a1h5-hkt-f11-r4-c4_S1127_	G	134	0.000230518	0.9668	565844	565844	73.232053	0.044528	0.014663989	0.0199087381	102	0.5806451613	0.414898	0.153648
f1216-wt-mesc-a1h5-hkt-f11-r4-c5_S1128_	G	133	0.00785361	0.9711	465562	465562	73.429606	0.044922	0.0120927145	0.0259194396	86	0.6153846154	0.414635	0.134889
f1216-wt-mesc-a1h5-hkt-f11-r4-c6_S1129_	G	132	0.0173253	0.9649	557200	557200	73.28052	0.041228	0.01449944	0.0206776136	103	0.5	0.414295	0.155633
f1216-wt-mesc-a1h5-hkt-f11-r5-c2_S1130_	G	137	0.00159524	0.9596	530812	530812	73.649528	0.04411	0.013840598	0.024847379	95	0.5555555556	0.416162	0.146928
f1216-wt-mesc-a1h5-hkt-f11-r5-c3_S1131_	G	133	0.000560174	0.9413	567528	567528	73.272351	0.043515	0.0147313253	0.0225607064	105	0.5526315789	0.416577	0.151312
f1216-wt-mesc-a1h5-hkt-f11-r5-c4_S1132_	G	135	0.000632701	0.9757	469204	469204	73.587751	0.045213	0.0122098399	0.0213093502	85	0.6206896552	0.414779	0.137572
f1216-wt-mesc-a1h5-hkt-f11-r5-c5_S1133_	G	132	0.0101065	0.9448	530002	530002	73.300176	0.041321	0.0137940557	0.0171397693	97	0.5	0.417302	0.151074
f1216-wt-mesc-a1h5-hkt-f11-r5-c6_S1134_	G	133	0.00216132	0.9577	485362	485362	73.447476	0.042331	0.0126442861	0.0230983614	90	0.4848484848	0.415874	0.139558
f1216-wt-mesc-a1h5-hkt-f11-r6-c2_S1135_	G	115	0.0095543	0.8572	272694	272694	70.628899	0.022362	0.0069738456	0.0658674832	51	0.4827586207	0.428185	0.138288
f1216-wt-mesc-a1h5-hkt-f11-r6-c3_S1136_	G	114	0.0225796	0.9613	240032	240032	70.8453	0.024572	0.0061434403	0.0584663637	45	0.6666666667	0.421023	0.123002
f1216-wt-mesc-a1h5-hkt-f11-r6-c4_S1137_	G	117	0.00372144	0.9488	257458	257458	70.974536	0.023647	0.0066077264	0.0435352956	48	0.56	0.418502	0.134448
f1216-wt-mesc-a1h5-hkt-f11-r6-c5_S1138_	P	126	0.000253099	0.9667	350798	350798	71.78645	0.027953	0.0090661539	0.1495167356	63	0.511627907	0.423121	0.149112
f1216-wt-mesc-a1h5-hkt-f12-r2-c2_S1140_	G	141	7.38284E-05	0.9546	360226	360226	73.982478	0.043412	0.0094420239	0.0419257695	65	0.5161290323	0.418428	0.119427
f1216-wt-mesc-a1h5-hkt-f12-r2-c3_S1141_	G	130	0.00108635	0.9389	537196	537196	72.864737	0.039784	0.0139205164	0.0226483233	98	0.5294117647	0.416576	0.15405
f1216-wt-mesc-a1h5-hkt-f12-r2-c4_S1142_	G	111	0.0122189	0.9471	207396	207396	70.431802	0.020068	0.0053015316	0.0682815876	38	0.4411764706	0.421609	0.125799
f1216-wt-mesc-a1h5-hkt-f12-r2-c5_S1143_	G	129	0.000214389	0.9693	546246	546246	72.727619	0.037675	0.0141594259	0.0309670626	101	0.4571428571	0.414213	0.160599
f1216-wt-mesc-a1h5-hkt-f12-r2-c6_S1144_	G	128	0.00242837	0.9529	625006	625006	72.549076	0.040038	0.0161215335	0.0377649842	116	0.4516129032	0.41681	0.165853
f1216-wt-mesc-a1h5-hkt-f12-r3-c2_S1145_	G	126	0.004651	0.955	563194	563194	72.52964	0.037955	0.0145547639	0.0284976097	105	0.4848484848	0.417391	0.161809
f1216-wt-mesc-a1h5-hkt-f12-r3-c3_S1146_	G	131	0.00742845	0.959	439484	439484	73.227892	0.04012	0.0114412317	0.0212275478	81	0.5	0.415782	0.137554
