Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing	coverage	spikiness	evenness.mean	evenness.med
f1216-c38-mesc-a1h5-hkt-r59-c49_S805_.processed.bam	G	123	8.49637e-05	0.9534	395628	395628	71.602938	0.027652	0.010201777	0.0441028634	75	0.5324675325	0.425211	0.156601	0.0102590838916896	0.194868678189525	0.229843273190256	0.223031894548614
f1216-c38-mesc-a1h5-hkt-r59-c50_S806_.processed.bam	G	128	0.00312889	0.9486	340014	340014	72.963437	0.030269	0.008910244	0.0406742557	63	0.4912280702	0.428122	0.139463	0.00899033067886736	0.20075789988387	0.222770103266427	0.220000783044381
f1216-c38-mesc-a1h5-hkt-r59-c51_S807_.processed.bam	G	125	0.0167801	0.9584	477850	477850	71.951171	0.02998	0.0123522588	0.0245698311	88	0.4761904762	0.42254	0.16599	0.0124614416934875	0.182594435648043	0.198139980226351	0.195103188491705
f1216-c38-mesc-a1h5-hkt-r59-c52_S808_.processed.bam	G	127	0.00130771	0.968	317642	317642	72.968874	0.029329	0.0083326638	0.0223739609	59	0.5076923077	0.429488	0.137921	0.00840034029908363	0.209210164924992	0.230682391067111	0.227800477387862
f1216-c38-mesc-a1h5-hkt-r59-c53_S809_.processed.bam	G	127	0.00209269	0.9685	450448	450448	72.701473	0.032568	0.0117339588	0.02012803	83	0.4545454545	0.423318	0.157459	0.0118637092763958	0.183407992891916	0.219877658799947	0.216939757557117
f1216-c38-mesc-a1h5-hkt-r59-c54_S810_.processed.bam	G	126	0.00770011	0.9567	519696	519696	71.982267	0.029275	0.0134495373	0.0290919128	96	0.5	0.42161	0.176554	0.0135467014379466	0.174362177485226	0.212591442272814	0.208497200766627
f1216-wt-mesc-a1h5-hkt-f11-r2-c2_S1115_.processed.bam	G	140	0.000125806	0.9286	313088	313088	74.086183	0.040992	0.0082387649	0.0132495913	58	0.5588235294	0.416694	0.111232	0.00841663479148607	0.203036867626642	0.223639822017027	0.218852952427634
f1216-wt-mesc-a1h5-hkt-f11-r2-c3_S1116_.processed.bam	G	132	0.00143304	0.9281	532054	532054	72.997893	0.039673	0.0138140624	0.0252179638	96	0.4516129032	0.418386	0.151815	0.0140765262693016	0.175459240890209	0.210086469888434	0.20787149168361
f1216-wt-mesc-a1h5-hkt-f11-r2-c4_S1117_.processed.bam	P	117	0.0121076	0.9535	202282	202282	71.33786	0.020625	0.0052343477	0.1621675072	36	0.4857142857	0.423578	NA	0.00522978542118888	0.272902044552945	0.235415515735534	0.235154493475338
f1216-wt-mesc-a1h5-hkt-f11-r2-c5_S1118_.processed.bam	P	135	0.00017697	0.9722	583210	583210	73.239761	0.045181	0.0151052935	0.1527340003	102	0.5263157895	0.420084	0.153749	0.0154857643607889	0.220665606929091	0.224798396994935	0.224692035945523
